Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
0070_Teor,70,5,6,2,1.6,1.2,0.8,7,0.9,1243.5,430,614.2,75.9,248.7,1151.2,230.2,29,1119.6,1.1,1,1,1,1,2,5,2,3,188.2,0,0,14,2,6,123.4,4,0,2,0,26,5,5,9,4,3,0,6.6,19.1,1:54:34,0:22:54,11,631.2,25,0
0070_Teor,76,5,8,4,2.4,1.6,0.8,8,1,1290.9,554.2,128,386.8,258.2,983.6,196.7,48,867.3,1.5,2,2,1,2,0,5,0,1,258.8,1,1,11,1,4,45.2,2,0,2,0,19,0,11,22,0,16,0,5,24.2,1:55:07,0:23:01,14,483.6,34,1
0070_Teor,50,5,2,2,0.8,0.4,0.6,5,0.4,686.1,384.5,180.3,0,137.2,1080.5,216.1,0,1019.1,0.7,0,1,3,0,1,7,3,1,174.5,0,0,12,0,6,121.3,6,0,1,0,17,0,4,13,2,1,0,5.9,24.5,1:33:14,0:18:38,11,550.5,12,0
0070_Teor,54,5,5,1,1.2,1,0.4,5,1,861.4,683.9,117.5,60,172.3,855.3,171.1,0,844.7,1,3,2,0,1,2,4,1,0,48.3,0,0,10,1,3,0,3,0,3,0,14,0,3,13,2,0,0,5.8,23.9,1:39:05,0:19:49,4,345.3,26,1
0070_Teor,57,5,2,5,1.4,0.4,0.6,4,0.5,949.9,576.1,273.6,0,190,839.3,167.9,6,822.1,1.2,2,2,0,1,2,3,0,0,280.9,1,1,15,0,8,100.1,1,0,0,0,26,4,15,15,2,1,0,4.2,24.3,1:25:42,0:17:08,7,337.9,13,0
0070_Teor,70,5,8,1,1.8,1.6,0.8,7,1.1,1090.4,883.5,113.5,0,218.1,1155,231,0,1111.4,1,1,0,2,3,0,7,2,3,196.1,0,0,18,0,9,93.5,3,0,0,0,14,0,10,22,4,4,0,6,24.3,1:34:27,0:18:53,17,635,16,0
0070_Teor,55,5,3,8,2.2,0.6,0.4,4,0.8,956,433.3,522.6,0,191.2,1458.1,291.6,161,1209.8,0.8,1,2,2,1,0,7,2,1,94.9,0,0,28,2,5,0,4,0,0,0,20,6,5,7,0,0,0,4.5,17.1,1:32:01,0:18:24,14,936,18,0
0070_Teor,79,5,10,4,2.8,2,0.6,10,1,1818,598.7,1032.9,0,363.6,1248.4,249.7,29,1198.4,1.5,0,1,2,0,2,7,4,3,433.3,1,0,18,0,10,186.4,2,1,1,0,29,6,22,16,2,8,0,5.2,13.7,1:39:52,0:19:58,11,708.4,17,2
0070_Teor,86,5,14,5,3.8,2.8,0.6,15,0.9,1815.2,843.2,535.2,0,363,771.4,154.3,10,759.2,2.4,2,2,1,1,1,4,0,4,156.8,1,1,34,6,15,337,7,1,0,0,37,6,10,18,4,0,0,5.5,12.1,1:45:41,0:21:08,4,271.4,23,2
0070_Teor,95,5,16,11,5.4,3.2,1,15,1.1,2289.8,1013.7,876.1,0,458,1132.4,226.5,34,1093.1,2.1,3,0,0,3,2,3,0,6,300.8,0,1,14,2,10,206.2,3,0,1,0,26,2,13,19,6,4,0,5.8,13.5,1:53:21,0:22:40,10,632.4,33,0
0070_Teor,30,5,0,0,0,0,0,2,0,466.8,352.7,114.1,0,93.4,839.2,167.8,48.2,775.7,0.6,0,3,0,1,1,5,1,0,0,0,0,8,0,2,0,5,5,0,0,15,1,2,4,0,0,0,4.5,17.9,1:15:04,0:15:00,7,329.2,19,0
0070_Teor,34,5,1,0,0.2,0.2,0.2,2,0.5,359.5,98.4,213.8,0,71.9,1239.4,247.9,362.9,808.7,0.4,3,1,1,3,0,7,2,0,26.3,0,0,8,0,5,0,2,0,0,0,16,5,2,9,2,1,0,4.7,19.6,1:14:58,0:14:59,20,719.4,19,1
0070_Teor,56,5,3,3,1.2,0.6,0.8,3,1,613.5,283.8,110.9,0,122.7,928.8,185.8,62.2,865.9,0.7,1,0,3,0,2,3,0,1,52,0,0,13,0,9,276,1,0,1,0,11,0,7,6,0,3,0,4.6,16.3,1:08:28,0:13:41,12,428.8,24,1
0070_Teor,59,5,3,3,1.2,0.6,0.8,6,0.5,802.6,274.4,394.8,0,160.5,1392.2,278.4,413.5,915,0.9,2,1,1,1,2,6,3,1,31.1,0,1,7,0,2,0,4,0,2,37.4,28,0,12,10,0,4,0,3.6,21.6,1:29:26,0:17:53,17,862.2,17,0
0070_Teor,24,5,0,0,0,0,0,0,0,62.8,21.6,0,0,12.6,824.7,164.9,0,824.7,0.1,0,2,0,1,2,4,1,0,0,0,0,12,0,4,0,1,0,1,0,12,0,1,16,3,3,0,4.1,23,1:15:00,0:15:00,10,314.7,5,0
0070_Teor,31,5,0,1,0.2,0,0.2,0,0,236.5,186.1,34.2,0,47.3,688.1,137.6,0,687.5,0.3,0,2,1,1,1,4,0,0,0,0,0,7,2,1,16.2,3,1,1,0,19,0,5,13,2,1,0,1.9,18.7,1:11:53,0:14:22,3,188.1,14,0
0070_Teor,39,5,2,2,0.8,0.4,0.4,2,1,213.5,92.3,32.3,35.6,42.7,834.5,166.9,103,672.6,0.3,0,1,1,2,1,5,1,0,50.6,0,0,11,1,2,53.4,7,1,3,0,21,0,0,16,0,3,0,3.3,21.7,1:14:53,0:14:58,4,324.5,13,0
0070_Teor,45,5,3,2,1,0.6,0.4,4,0.8,480.8,377.8,103,0,96.2,830.9,166.2,6,799.3,0.6,2,0,3,1,1,4,0,0,167.6,0,1,6,1,0,0,0,0,0,0,25,0,5,0,0,0,0,2.5,19.9,1:14:28,0:14:53,4,330.9,10,0
0070_Teor,47,5,2,3,1,0.4,0.6,3,0.7,454.4,251.1,52.6,64.8,90.9,1301.3,260.3,258.7,1003.3,0.5,3,3,0,0,2,6,3,1,7.7,0,0,9,0,5,26.6,1,1,0,0,19,0,9,12,1,7,0,2.4,19.6,1:12:55,0:14:35,19,771.3,14,0
0070_Teor,48,5,4,0,0.8,0.8,0.6,3,1.3,434.2,315.1,65.8,0,86.8,1783.4,356.7,489.6,1212.9,0.4,1,0,1,3,1,8,4,1,411,1,0,15,0,13,53.3,1,0,1,0,16,2,8,11,0,4,0,3.5,24.1,1:36:40,0:19:20,38,1243.1,26,0
0070_Teor,49,5,2,1,0.6,0.4,0.6,3,0.7,671.2,452.1,219.2,0,134.2,2039.3,407.9,907.8,1117.4,0.6,3,1,0,2,2,4,1,1,148.8,1,0,9,0,6,40.4,1,0,0,0,20,0,12,2,0,1,0,4.3,23.5,1:25:53,0:17:10,29,1529.3,23,1
0070_Teor,52,5,4,3,1.4,0.8,0.6,3,1.3,518.5,371.4,100,0,103.7,1277.6,255.5,226.5,1025.8,0.5,3,1,4,0,0,7,2,2,119.2,0,0,8,1,5,47.1,0,0,0,0,11,0,4,2,0,0,0,3.8,22.6,1:24:31,0:16:54,20,757.6,14,0
0070_Teor,50,5,2,2,0.8,0.4,0.4,4,0.5,892.1,448.5,443.6,0,178.4,1038,207.6,109.2,888.7,1,2,3,1,1,0,6,1,1,260,0,0,11,0,5,0,0,0,0,0,15,2,9,12,0,1,0,4.5,24.2,1:33:40,0:18:44,7,528,11,0
0070_Teor,54,5,3,2,1,0.6,0.6,2,1.5,796,225.3,473.1,0,159.2,1148.3,229.7,33,1109.5,0.7,0,1,2,2,0,8,3,0,135.3,0,0,16,0,7,49.6,4,0,2,48,17,0,7,7,0,1,0,4.9,22.2,1:54:55,0:22:59,6,618.3,16,0
0070_Teor,73,5,8,3,2.2,1.6,0.6,8,1,1385.9,846.2,447.3,0,277.2,1108.3,221.7,18,1079.5,1.3,3,1,1,1,2,4,1,3,111.9,1,0,14,0,11,92.4,3,0,2,0,22,5,10,9,0,4,0,5,23,1:58:23,0:23:40,7,598.3,23,2
0070_Teor,75,5,8,4,2.4,1.6,0.6,10,0.8,1901.2,1183.5,344.7,0,380.2,1484.8,297,56,1423.4,1.3,1,0,1,1,3,3,1,1,76.8,1,2,18,1,15,373,3,0,3,0,27,5,19,14,4,6,0,4.8,28.1,1:59:10,0:23:50,12,974.8,32,0
0070_Teor,50,5,3,2,1.3,0.8,0.6,2,1.5,493.3,89,245.1,0,98.7,985.9,197.2,259.8,711.5,0.7,2,1,1,1,1,3,0,0,27.7,0,0,10,2,3,49.8,4,1,1,0,25,0,11,7,0,2,0,4.6,29.1,1:42:38,0:20:31,7,585.9,17,1
0070_Teor,54,5,4,1,1.3,1,0.4,4,1,879.8,613.3,181.3,0,175.9,977.1,195.4,274.4,691.6,1.3,1,2,2,0,0,5,0,3,49.7,0,0,11,0,6,85.2,0,0,0,0,24,0,10,11,0,2,0,4.6,34.2,1:38:13,0:19:38,9,477.1,22,0
0070_Teor,54,5,5,1,1.5,1.3,0.6,5,1,548.3,306.4,88.1,0,109.7,1181.1,236.2,317.4,772.1,0.7,3,0,0,3,1,6,3,1,27.1,0,0,7,0,6,194.9,1,0,0,0,20,0,12,7,1,3,0,5.8,31.3,1:45:20,0:21:04,14,751.1,15,0
0070_Teor,60,5,5,3,2,1.3,0.6,6,0.8,821.9,535.2,199.5,0,164.4,1430.9,286.2,229.1,1161.5,0.7,2,1,1,0,2,7,5,2,127.8,0,0,16,0,9,87.2,5,0,2,0,19,1,12,10,0,2,0,5.3,34.2,1:43:12,0:20:38,19,906.7,31,0
0070_Teor,31,5,1,1,0.4,0.2,0.2,0,1,119.5,94.7,24.8,0,23.9,510,102,0,508.6,0.2,0,1,4,0,0,6,1,0,338,0,0,11,0,0,0,0,0,0,0,9,0,1,9,1,0,0,2.5,13.7,0:49:08,0:09:49,0,0,1,0
0070_Teor,50,5,3,3,1.2,0.6,0.6,4,0.8,507.3,464.1,43.2,0,101.5,651.2,130.2,70.2,581,0.9,1,2,0,2,1,4,0,1,84,0,0,7,0,3,0,5,0,0,0,16,3,2,7,1,0,0,3.5,20.2,1:13:49,0:14:45,1,151.2,11,1
0070_Teor,58,5,5,3,1.6,1,0.6,4,1.3,811.5,480.8,278.5,0,162.3,857.6,171.5,61.6,790.7,1,0,1,0,3,1,3,0,1,83.4,0,1,11,0,7,52.2,2,0,1,0,9,0,2,16,3,3,0,3.3,25.5,1:15:32,0:15:06,5,357.6,16,0
0070_Teor,76,5,6,4,2,1.2,0.8,7,0.9,1670.5,622.9,754.9,0,334.1,813.8,162.8,80,694.2,2.4,1,1,1,0,3,3,1,2,232,0,0,15,3,3,29.7,5,0,2,48,26,2,5,13,4,1,0,3.3,30.7,1:31:13,0:18:14,4,303.8,11,0
0070_Teor,62,5,4,5,2.3,1,0.4,6,0.7,1172.1,623.1,299.1,0,234.4,1060.7,212.1,0,1059.9,1.1,3,0,2,0,2,5,2,0,73,0,0,16,0,10,249.9,2,0,2,0,31,3,10,8,0,3,0,4,24.6,1:23:36,0:16:43,10,540.7,12,1
0070_Teor,65,5,4,5,1.8,0.8,1,6,0.7,779.7,442.1,259.2,0,155.9,800.2,160,0,759.1,1,0,3,1,1,0,8,3,1,247.3,0,0,12,0,3,31.2,2,1,0,0,15,0,2,5,0,0,0,3.9,22.6,1:15:12,0:15:02,3,270.2,10,1
0070_Teor,76,5,9,0,1.8,1.8,0.8,9,1,1441.5,780.3,488.9,0,288.3,955.8,191.2,0,925.1,1.6,0,2,0,3,0,6,1,1,168.3,0,0,21,0,8,172.3,1,0,0,0,33,3,11,12,3,3,0,4.3,21.2,1:13:34,0:14:42,7,445.8,11,0
0070_Teor,79,5,9,6,3.8,2.3,0.8,9,1,1249.4,641.7,163.5,100,249.9,1003.3,200.7,34,939.7,1.3,4,0,2,0,2,3,1,3,197.3,0,0,26,0,19,344.2,6,0,5,0,14,0,4,18,4,4,0,5.6,25.9,1:31:39,0:18:19,6,579.3,30,0
0070_Teor,58,5,6,0,1.5,1.5,0.6,7,0.9,741.4,388.5,296.2,0,148.3,1383.9,276.8,401.8,969.1,0.8,0,3,1,0,0,8,4,1,304.4,0,0,11,0,10,56.7,3,0,1,0,20,1,11,12,1,3,0,2.7,30.4,1:20:10,0:16:02,22,943.9,25,3
0070_Teor,70,5,4,8,3,1,0.8,5,0.8,1176.6,661.5,396.3,0,235.3,1377.7,275.5,153.1,1195.2,1,3,1,1,1,1,6,3,2,112.6,0,0,15,1,6,96.8,2,1,0,0,25,6,2,15,1,3,0,6,27.4,1:35:03,0:19:00,19,947.7,15,1
0070_Teor,76,5,7,5,3,1.8,0.6,8,0.9,2092.9,614,1285.2,0,418.6,1764.2,352.8,500.4,1263.3,1.7,3,0,2,0,2,3,1,4,149.5,0,0,13,0,8,193.8,4,0,0,0,36,12,20,19,1,0,0,7.1,31.3,1:49:45,0:21:57,28,1341.3,28,0
0070_Teor,87,5,11,1,3,2.8,1,8,1.4,1602.5,749.5,661.8,0,320.5,1131.9,226.4,442.2,610.3,2.6,2,0,0,3,1,3,0,3,99.1,1,0,20,1,14,219.2,6,3,1,0,36,2,18,11,1,6,0,5.8,32.8,1:48:12,0:21:38,18,731.9,31,0
0070_Teor,56,5,1,6,1.4,0.2,0.8,5,0.2,751.3,373.1,138.9,0,150.3,792.3,158.5,7.2,704.6,1.1,0,3,0,2,0,5,0,0,50.9,0,0,9,1,2,21.9,1,0,1,0,16,2,8,12,2,1,0,2.3,11,0:57:50,0:11:34,6,292.3,11,0
SC_raN,68,5,6,4,2,1.2,0.8,6,1,1027.8,536.1,410,0,205.6,812.4,162.5,50.1,710.5,1.4,3,1,3,1,0,6,1,0,126.9,0,0,9,0,6,81.7,1,0,0,0,17,2,3,9,0,3,0,4.7,17,1:19:59,0:15:59,4,302.4,10,0
SC_Xury,69,5,7,3,2,1.4,0.6,6,1.2,1278.3,668,497.4,0,255.7,1158.6,231.7,172.2,986.4,1.3,1,0,2,2,1,6,2,2,138.6,0,0,12,0,8,13,2,0,1,0,15,0,7,9,0,2,0,3,16.5,1:24:20,0:16:52,13,638.6,25,1
SC_Elice,78,5,8,3,2.2,1.6,0.8,11,0.7,1716.3,960.2,737.9,0,343.3,1610.6,322.1,296.8,1313.6,1.3,2,1,0,0,4,4,3,0,100.1,0,0,15,1,11,18.2,3,0,1,0,31,0,19,14,2,2,0,4.8,24.8,1:38:27,0:19:41,19,1080.6,22,0
UR_7202,47,5,3,0,0.6,0.6,0.4,2,1.5,682.9,390.2,152.8,0,136.6,976.7,195.3,133.2,741.1,0.9,0,1,1,0,3,2,0,1,179.5,0,0,11,1,7,139.9,4,2,2,94.6,26,2,11,6,0,0,0,5.7,17.2,1:41:58,0:20:23,7,476.7,18,0
UR_Shift,62,5,5,1,1.5,1.3,0.8,4,1.3,828.7,320.3,331.1,0,165.7,539,107.8,67.4,471.6,1.8,3,0,2,1,1,3,0,1,92,0,0,7,0,3,170.7,0,0,0,0,23,4,2,14,1,4,0,4.9,9.8,1:43:07,0:20:37,2,139,32,0
UR_suppress,66,5,7,2,2.3,1.8,0.6,6,1.2,1049.2,240.6,602.7,0,209.8,750.5,150.1,14,730.8,1.4,1,3,0,1,0,6,2,5,318,1,0,15,1,5,37.6,1,0,1,0,10,0,3,14,0,2,0,4.9,10.5,1:36:53,0:19:22,5,330.5,9,0
UR_SeungYong,83,5,11,2,3.3,2.8,0.8,8,1.4,1422.6,765.9,576.6,0,284.5,1024.9,205,71.4,949.2,1.5,0,1,1,2,0,6,2,2,221.2,2,0,12,0,8,38.9,2,0,0,0,18,0,5,20,2,4,0,5.4,15.8,1:44:42,0:20:56,7,577.2,16,1
XCC_yoon,42,5,4,0,0.8,0.8,0.4,3,1.3,306.9,301.3,0,0,61.4,726.4,145.3,3.8,713.4,0.4,2,2,0,2,1,5,1,1,22.3,0,0,2,0,2,5.6,0,0,0,0,9,0,2,8,0,0,0,3.7,28.8,1:20:32,0:16:06,4,216.4,9,0
XCC_Haru,56,5,4,6,2.5,1,0.6,2,2,553.4,266.3,60.3,0,110.7,1123.1,224.6,45.6,996.6,0.6,3,2,0,2,0,6,2,0,72.1,0,0,14,1,9,226.9,3,0,2,0,15,0,2,8,2,1,0.1,5.2,31,1:35:50,0:19:10,11,702.6,26,1
XCC_Xtrfy,62,5,1,7,2,0.3,0.4,4,0.3,1617.6,604.1,840.7,0,323.5,1207,241.4,64.8,1131.6,1.4,1,0,2,0,2,6,3,1,115.6,0,0,10,0,6,172.8,2,0,2,0,22,0,7,15,3,2,0,5.7,30.2,1:36:45,0:19:21,13,676.4,38,0
XCC_DustinX,69,5,9,2,2.2,1.8,0.8,9,1,862.5,579.9,178,0,172.5,955.5,191.1,141.2,814.3,1.1,1,1,3,0,1,5,1,2,112.2,0,1,10,2,3,4.6,4,0,0,0,10,0,3,10,0,3,0.1,5.8,31.9,1:28:46,0:17:45,7,445.5,17,0
TISKA-,96,6,18,5,4.6,3.6,1,15,1.2,2638.9,1724.7,590.9,94.4,439.8,2000.7,333.5,374.4,1469.1,1.8,4,1,0,2,2,4,1,7,179.5,1,1,31,5,14,229,4,0,1,0,31,1,14,15,5,4,0,18.9,33.1,2:14:00,0:22:20,28,1488.3,44,1
Justus,92,6,17,8,5,3.4,0.8,15,1.1,2307.9,1151.2,647.7,0,384.7,1585.7,264.3,105.4,1222.1,1.9,1,2,2,1,0,7,2,4,535.2,1,1,36,11,15,335.5,4,1,1,0,56,21,27,26,8,10,0,17,37.6,2:10:22,0:21:43,15,1065.7,35,2
DYNNO-,91,6,14,7,4.2,2.8,1,14,1,3298.3,1856.6,882.3,84.4,549.7,2318.1,386.4,675.1,1569.8,2.1,5,0,1,0,4,2,1,6,131.5,0,2,16,0,16,318.1,4,1,3,70,51,6,37,22,4,14,0,20.9,33.3,2:46:55,0:27:49,30,1808.1,39,2
VAC_Tizzer,88,6,13,6,3.2,2.2,1,13,1,1862.5,799.2,824.7,0,310.4,1369.5,228.3,3,1333.5,1.4,2,1,0,2,3,8,3,7,217.5,1,1,18,1,7,38.8,5,0,0,0,27,0,8,7,0,0,0,18.9,23.7,2:12:58,0:22:09,9,639.5,19,0
xBreidl,88,6,14,6,4,2.8,0.8,10,1.4,1892.5,1108.8,554,0,315.4,2023.1,337.2,612.4,1406,1.3,0,1,1,0,3,4,2,2,319,1,1,12,0,8,152.7,3,0,2,77,22,2,16,10,3,3,0,15.9,27.8,2:26:19,0:24:23,29,1435.2,23,2
slqvnnnnnnnnnnnn,85,6,15,5,4,3,0.7,11,1.4,3107.5,1526.5,1377.1,0,517.9,2133.5,355.6,129,1926.9,1.6,4,2,0,2,1,8,4,2,224.8,1,1,23,3,13,103.9,2,0,0,0,46,3,26,25,8,6,0,20.8,25.7,2:25:48,0:24:18,29,1589.7,40,0
NEEDEX,85,6,11,8,4.8,2.8,0.8,9,1.2,1790.3,1079.9,356.4,176.1,298.4,1560.6,260.1,0,1435.7,1.2,1,1,2,1,0,9,2,4,271.5,0,0,12,0,2,35.5,3,0,0,0,20,0,3,10,3,1,0,11.8,25.1,1:36:17,0:16:02,13,813.3,21,1
milkywayyy-_-,82,6,10,3,3.3,2.5,1,11,0.9,1614.3,947.9,289,0,269.1,1421.8,237,271.6,1129.4,1.4,1,0,1,1,2,4,2,1,81.8,1,0,40,4,22,195.3,11,5,1,0,46,10,20,25,7,13,0,17.9,39.7,2:17:19,0:22:53,18,976.8,34,3
BeeRus----,81,6,8,6,2.3,1.3,1,6,1.3,1819.8,574.2,1078.3,0,303.3,2194.9,365.8,49.2,2145.8,0.8,1,3,0,3,0,11,5,2,252.2,1,1,17,2,7,27.5,1,0,0,0,20,3,8,10,0,2,0,22.7,27.9,2:32:11,0:25:21,29,1544.9,31,1
PaiinZ,81,6,10,4,2.8,2,0.8,9,1.1,1882.1,866.7,937.7,0,313.7,1655.8,276,44,1495.4,1.3,1,2,0,2,1,6,2,5,109.2,0,1,20,3,10,101.6,3,0,1,0,27,4,5,19,2,1,0,16,33.5,2:12:02,0:22:00,23,1135.8,25,3
NeeKz-,81,6,7,5,2.4,1.4,1,4,1.8,2190.6,545.8,1564.9,0,365.1,1007.7,167.9,0,950.7,2.3,2,0,2,2,1,5,1,2,272.2,2,1,12,0,5,29.7,3,0,0,0,23,2,7,8,0,1,0,15.9,36.8,2:17:23,0:22:53,9,461.3,16,0
CRA_Jakob,80,6,10,4,2.3,1.7,0.8,9,1.1,2187.3,806.9,993.6,0,364.5,1677.7,279.6,82.8,1571.5,1.4,0,0,4,0,1,9,3,0,410.5,3,2,21,0,9,168.9,6,0,2,0,22,0,4,4,1,1,0,16.8,28.7,2:15:24,0:22:34,17,947.7,19,1
Grigo1707,79,6,8,5,2.6,1.6,1,7,1.1,1565.5,527.1,861.6,0,260.9,1595,265.8,299.4,1210.1,1.3,1,0,1,3,1,6,0,2,222.5,0,1,25,6,13,171.1,3,0,0,0,25,0,12,14,0,6,0,15.2,29.5,2:16:17,0:22:42,12,895,30,1
annico-,77,6,13,3,3.2,2.6,0.7,11,1.2,1505.5,1012.1,421.9,0,250.9,1720.3,286.7,200.2,1470.3,1,3,1,2,1,1,6,1,4,151.1,1,0,16,1,6,71.5,3,0,0,0,25,0,5,12,0,7,0,14.7,47,2:14:16,0:22:22,22,1110.3,19,1
CPLAY_Milo,73,6,10,1,1.8,1.7,0.8,7,1.4,1460.6,475,688.1,0,243.4,1519.3,253.2,234.2,1282.9,1.1,0,0,1,2,3,4,1,1,437.2,2,0,14,0,7,105,7,0,1,0,16,2,10,14,5,1,0,16.7,40.2,2:13:20,0:22:13,25,909.3,26,0
Vorix,72,6,5,5,1.7,0.8,1,5,1,1429.5,639.6,353,326.7,238.2,1173.9,195.7,0,1147.9,1.2,1,4,0,1,1,5,0,3,59.6,1,1,18,1,5,10.2,5,0,1,0,20,0,1,6,0,1,0,12,32.1,1:43:34,0:17:15,11,573.9,14,1
CRA_ebaY,71,6,8,3,1.8,1.3,0.7,7,1.1,1643.6,636.6,683.4,228.5,273.9,1934.8,322.5,64.8,1824.4,0.9,5,2,0,3,0,9,3,1,611.5,2,1,23,5,9,34.1,4,2,2,0,24,0,16,18,5,5,0,16.3,29,2:31:17,0:25:12,17,1204.8,24,2
ItzzChrizZ,70,6,8,6,2.3,1.3,0.7,9,0.9,1454,609.1,563.3,0,242.3,1865.4,310.9,491.5,1333.9,1.1,1,0,1,3,2,7,3,3,206.5,0,2,18,0,8,181.7,7,1,2,0,32,0,10,10,0,0,0,13.3,45.2,1:53:40,0:18:56,33,1233.8,23,0
Bjoernter,69,6,7,0,1.4,1.4,0.7,7,1,1655.1,586.3,754.8,205.1,275.9,1758.5,293.1,0,1720.7,1,1,0,3,0,2,5,2,2,99.9,1,0,21,6,6,108.9,1,0,0,0,32,5,3,10,0,4,0,14.7,32.3,2:00:53,0:20:08,16,1226.3,26,3
BIGTEQZ,69,6,9,5,2.3,1.5,0.5,7,1.3,1519.4,405.9,728.5,0,253.2,1334.2,222.4,204.8,1068.5,1.4,1,3,1,0,2,4,0,2,168,4,1,16,0,12,166.6,7,0,1,0,31,0,9,14,3,1,0,12,30.2,1:48:12,0:18:02,10,731.8,24,0
xBeg1nner,68,6,6,6,2,1,0.8,8,0.8,1269.8,632.9,510.1,0,211.6,1540,256.7,495.1,1044.6,1.2,0,0,1,2,3,3,0,5,95.6,0,4,20,5,7,126.8,2,0,0,0,21,0,16,16,2,3,0,16.9,44.7,2:21:46,0:23:37,22,939.7,28,3
